|A|B|C|D|E|F|G|H|I|
| 144799 |         poprun         |  18s   |   janel    | 24 | 1330MHz  | 34.1 C | 26.9 C |135.9 W |
| 144799 |         poprun         |  18s   |   janel    | 28 | 1330MHz  | 36.5 C | 26.8 C |137.9 W |
| 144799 |         poprun         |  18s   |   janel    | 32 | 1330MHz  | 36.3 C | 27.4 C |135.5 W |
| 144799 |         poprun         |  18s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.2 C |141.5 W |
| 144799 |         poprun         |  18s   |   janel    | 40 | 1330MHz  | 35.7 C | 26.7 C |130.7 W |
| 144799 |         poprun         |  18s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |133.7 W |
| 144799 |         poprun         |  18s   |   janel    | 48 | 1330MHz  | 35.2 C | 27.0 C |137.5 W |
| 144799 |         poprun         |  18s   |   janel    | 52 | 1330MHz  | 36.2 C | 26.7 C |136.7 W |
| 144799 |         poprun         |  18s   |   janel    | 56 | 1330MHz  | 35.3 C | 26.8 C |127.1 W |
| 144799 |         poprun         |  18s   |   janel    | 60 | 1330MHz  | 36.2 C | 27.5 C |142.6 W |
| 144799 |         poprun         |  19s   |   janel    | 0  | 1330MHz  | 34.1 C | 27.0 C |129.5 W |
| 144799 |         poprun         |  19s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |130.4 W |
| 144799 |         poprun         |  19s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.0 C |137.6 W |
| 144799 |         poprun         |  19s   |   janel    | 12 | 1330MHz  | 35.2 C | 27.1 C |135.7 W |
| 144799 |         poprun         |  19s   |   janel    | 16 | 1330MHz  | 35.9 C | 26.6 C |133.3 W |
| 144799 |         poprun         |  19s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |133.2 W |
| 144799 |         poprun         |  19s   |   janel    | 24 | 1330MHz  | 34.2 C | 26.9 C |136.7 W |
| 144799 |         poprun         |  19s   |   janel    | 28 | 1330MHz  | 36.3 C | 26.8 C |137.9 W |
| 144799 |         poprun         |  19s   |   janel    | 32 | 1330MHz  | 36.3 C | 27.4 C |135.9 W |
| 144799 |         poprun         |  19s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.2 C |141.6 W |
| 144799 |         poprun         |  19s   |   janel    | 40 | 1330MHz  | 35.7 C | 26.7 C |130.3 W |
